"id","priority","domain","control","context","condition","automationLayer","instruction","expected","evidenceRequired","releaseBlocking","status"
"QA-LOGIN-CREDENTIALS-001","P0","Login Credentials","email normalization","desktop keyboard login","nominal","browser-e2e","In desktop keyboard login, verify email normalization under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-002","P0","Login Credentials","email normalization","desktop keyboard login","invalid","browser-e2e","In desktop keyboard login, verify email normalization under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-003","P0","Login Credentials","email normalization","desktop keyboard login","boundary","browser-e2e","In desktop keyboard login, verify email normalization under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-004","P0","Login Credentials","email normalization","desktop keyboard login","dependency_failure","browser-e2e","In desktop keyboard login, verify email normalization under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-005","P0","Login Credentials","email normalization","desktop keyboard login","recovery","browser-e2e","In desktop keyboard login, verify email normalization under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-006","P0","Login Credentials","email normalization","mobile touch login","nominal","browser-e2e","In mobile touch login, verify email normalization under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-007","P0","Login Credentials","email normalization","mobile touch login","invalid","browser-e2e","In mobile touch login, verify email normalization under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-008","P0","Login Credentials","email normalization","mobile touch login","boundary","browser-e2e","In mobile touch login, verify email normalization under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-009","P0","Login Credentials","email normalization","mobile touch login","dependency_failure","browser-e2e","In mobile touch login, verify email normalization under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-010","P0","Login Credentials","email normalization","mobile touch login","recovery","browser-e2e","In mobile touch login, verify email normalization under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-011","P0","Login Credentials","email normalization","direct tRPC login request","nominal","integration","In direct tRPC login request, verify email normalization under the expected valid state.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must complete successfully with accurate, user-visible confirmation.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-012","P0","Login Credentials","email normalization","direct tRPC login request","invalid","integration","In direct tRPC login request, verify email normalization under invalid, missing, or unauthorized input.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must fail closed with a calm, specific, non-enumerating error.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-013","P0","Login Credentials","email normalization","direct tRPC login request","boundary","integration","In direct tRPC login request, verify email normalization under minimum, maximum, empty, duplicate, expired, and unusual boundary values.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must handle every boundary deterministically without truncation, corruption, or ambiguous state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-014","P0","Login Credentials","email normalization","direct tRPC login request","dependency_failure","integration","In direct tRPC login request, verify email normalization under a database, storage, network, or downstream dependency failure.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must preserve data integrity, expose no secret, and provide a recoverable failure state.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
"QA-LOGIN-CREDENTIALS-015","P0","Login Credentials","email normalization","direct tRPC login request","recovery","integration","In direct tRPC login request, verify email normalization under retry, refresh, reconnect, rollback, and recovery after interruption.","The membership app must authenticate only the intended account, issue the correct session, and never log or echo the password; it must recover idempotently without duplicate records, stale authorization, or hidden partial work.","Automated assertion, screenshot, API response, database assertion, or documented manual observation","true","not-run"
